X,Y,Z
0.167,0.186,0.21
0.167,0.186,0.21
0.167,0.186,0.21
0.167,0.186,0.21
0.179,0.186,0.231
0.179,0.186,0.231
0.179,0.186,0.231
0.179,0.186,0.231
0.179,0.186,0.231
0.175,0.196,0.215
0.175,0.196,0.215
0.175,0.196,0.215
0.175,0.196,0.215
0.175,0.196,0.215
0.18,0.181,0.223
0.18,0.181,0.223
0.18,0.181,0.223
0.18,0.181,0.223
0.18,0.181,0.223
0.174,0.185,0.218
0.174,0.185,0.218
0.174,0.185,0.218
0.174,0.185,0.218
0.174,0.185,0.218
0.172,0.18,0.22
0.172,0.18,0.22
0.172,0.18,0.22
0.172,0.18,0.22
0.172,0.18,0.22
0.175,0.199,0.227
0.175,0.199,0.227
0.175,0.199,0.227
0.175,0.199,0.227
0.175,0.199,0.227
0.173,0.194,0.219
0.173,0.194,0.219
0.173,0.194,0.219
0.173,0.194,0.219
0.173,0.194,0.219
0.183,0.193,0.241
