X,Y,Z
0.018,0.029,0.029
0.018,0.029,0.029
0.018,0.029,0.029
0.018,0.029,0.029
0.016,0.023,0.025
0.016,0.023,0.025
0.016,0.023,0.025
0.016,0.023,0.025
0.016,0.023,0.025
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.02,0.03
0.017,0.02,0.03
0.017,0.02,0.03
0.017,0.02,0.03
0.017,0.02,0.03
0.021,0.02,0.026
0.021,0.02,0.026
0.021,0.02,0.026
0.021,0.02,0.026
0.021,0.02,0.026
0.023,0.02,0.023
0.023,0.02,0.023
0.023,0.02,0.023
0.023,0.02,0.023
0.023,0.02,0.023
0.022,0.019,0.031
0.022,0.019,0.031
0.022,0.019,0.031
0.022,0.019,0.031
0.022,0.019,0.031
0.024,0.018,0.026
0.024,0.018,0.026
0.024,0.018,0.026
0.024,0.018,0.026
0.024,0.018,0.026
0.022,0.015,0.024
0.022,0.015,0.024
0.022,0.015,0.024
0.022,0.015,0.024
0.022,0.015,0.024
0.018,0.018,0.025
0.018,0.018,0.025
0.018,0.018,0.025
0.018,0.018,0.025
0.018,0.018,0.025
0.015,0.019,0.023
0.015,0.019,0.023
0.015,0.019,0.023
0.015,0.019,0.023
0.015,0.019,0.023
0.014,0.019,0.03
0.014,0.019,0.03
0.014,0.019,0.03
0.014,0.019,0.03
0.014,0.019,0.03
0.02,0.021,0.027
0.02,0.021,0.027
0.02,0.021,0.027
0.02,0.021,0.027
0.02,0.021,0.027
0.024,0.018,0.025
0.024,0.018,0.025
0.024,0.018,0.025
0.024,0.018,0.025
0.024,0.018,0.025
0.019,0.025,0.023
0.019,0.025,0.023
0.019,0.025,0.023
0.019,0.025,0.023
0.019,0.025,0.023
0.02,0.02,0.024
0.02,0.02,0.024
0.02,0.02,0.024
0.02,0.02,0.024
0.02,0.02,0.024
0.018,0.022,0.019
0.018,0.022,0.019
0.018,0.022,0.019
0.018,0.022,0.019
0.018,0.022,0.019
0.017,0.024,0.022
0.017,0.024,0.022
0.017,0.024,0.022
0.017,0.024,0.022
0.017,0.024,0.022
0.017,0.024,0.023
0.017,0.024,0.023
0.017,0.024,0.023
0.017,0.024,0.023
0.017,0.024,0.023
0.019,0.017,0.021
0.019,0.017,0.021
0.019,0.017,0.021
