6,0.019,0.02,0.024
7,0.019,0.02,0.024
8,0.019,0.02,0.024
9,0.019,0.02,0.024
10,0.019,0.02,0.024
11,0.021,0.016,0.025
12,0.021,0.016,0.025
13,0.021,0.016,0.025
14,0.021,0.016,0.025
15,0.021,0.016,0.025
16,0.023,0.019,0.026
17,0.023,0.019,0.026
18,0.023,0.019,0.026
19,0.023,0.019,0.026
20,0.023,0.019,0.026
21,0.022,0.016,0.024
22,0.022,0.016,0.024
23,0.022,0.016,0.024
24,0.022,0.016,0.024
25,0.022,0.016,0.024
26,0.021,0.02,0.022
27,0.021,0.02,0.022
28,0.021,0.02,0.022
29,0.021,0.02,0.022
30,0.021,0.02,0.022
31,0.02,0.019,0.026
32,0.02,0.019,0.026
33,0.02,0.019,0.026
34,0.02,0.019,0.026
35,0.02,0.019,0.026
36,0.022,0.021,0.025
37,0.022,0.021,0.025
38,0.022,0.021,0.025
39,0.022,0.021,0.025
40,0.022,0.021,0.025
41,0.018,0.022,0.024
42,0.018,0.022,0.024
43,0.018,0.022,0.024
44,0.018,0.022,0.024
45,0.018,0.022,0.024
46,0.018,0.021,0.025
47,0.018,0.021,0.025
48,0.018,0.021,0.025
49,0.018,0.021,0.025
50,0.018,0.021,0.025
51,0.018,0.023,0.026
52,0.018,0.023,0.026
53,0.018,0.023,0.026
54,0.018,0.023,0.026
55,0.018,0.023,0.026
56,0.016,0.022,0.028
57,0.016,0.022,0.028
58,0.016,0.022,0.028
59,0.016,0.022,0.028
60,0.016,0.022,0.028
61,0.019,0.018,0.026
62,0.019,0.018,0.026
63,0.019,0.018,0.026
64,0.019,0.018,0.026
65,0.019,0.018,0.026
66,0.021,0.021,0.023
67,0.021,0.021,0.023
68,0.021,0.021,0.023
69,0.021,0.021,0.023
70,0.021,0.021,0.023
71,0.021,0.018,0.02
72,0.021,0.018,0.02
73,0.021,0.018,0.02
74,0.021,0.018,0.02
75,0.021,0.018,0.02
76,0.018,0.018,0.029
77,0.018,0.018,0.029
78,0.018,0.018,0.029
79,0.018,0.018,0.029
80,0.018,0.018,0.029
81,0.018,0.019,0.024
82,0.018,0.019,0.024
83,0.018,0.019,0.024
84,0.018,0.019,0.024
85,0.018,0.019,0.024
86,0.019,0.019,0.027
87,0.019,0.019,0.027
88,0.019,0.019,0.027
89,0.019,0.019,0.027
90,0.019,0.019,0.027
91,0.015,0.019,0.029
92,0.015,0.019,0.029
93,0.015,0.019,0.029
94,0.015,0.019,0.029
95,0.015,0.019,0.029
96,0.018,0.018,0.027
97,0.018,0.018,0.027
98,0.018,0.018,0.027
99,0.018,0.018,0.027
100,0.018,0.018,0.027
101,0.02,0.016,0.025
102,0.02,0.016,0.025
103,0.02,0.016,0.025
104,0.02,0.016,0.025
105,0.02,0.016,0.025
106,0.022,0.017,0.022
107,0.022,0.017,0.022
108,0.022,0.017,0.022
109,0.022,0.017,0.022
110,0.022,0.017,0.022
111,0.019,0.02,0.019
112,0.019,0.02,0.019
113,0.019,0.02,0.019
114,0.019,0.02,0.019
115,0.019,0.02,0.019
116,0.02,0.02,0.022
117,0.02,0.02,0.022
118,0.02,0.02,0.022
119,0.02,0.02,0.022
120,0.02,0.02,0.022
121,0.024,0.017,0.023
122,0.024,0.017,0.023
123,0.024,0.017,0.023
124,0.024,0.017,0.023
125,0.024,0.017,0.023
126,0.018,0.015,0.023
127,0.018,0.015,0.023
128,0.018,0.015,0.023
129,0.018,0.015,0.023
130,0.018,0.015,0.023
131,0.018,0.014,0.02
