X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,Label
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.021,0.021,0.023,0.023,18.902,36.319,19.247,41.767,34.2,41.638,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.021,0.023,0.023,0.023,35.105,15.933,12.999,20.955,23.901,5.023,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.023,0.023,0.023,0.023,36.357,25.104,19.845,10.599,23.053,33.938,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.023,0.023,0.023,0.023,0.023,10.686,9.7904,6.8704,40.986,40.979,14.157,1
0.018,0.018,0.018,0.018,0.018,0.016,0.023,0.023,0.023,0.023,0.023,0.022,23.468,28.204,8.3693,44.145,28.536,20.644,1
0.018,0.018,0.018,0.018,0.016,0.016,0.023,0.023,0.023,0.023,0.022,0.022,21.604,13.897,42.555,21.32,28.866,25.92,1
0.018,0.018,0.018,0.016,0.016,0.016,0.023,0.023,0.023,0.022,0.022,0.022,30.074,30.402,43.149,7.4892,39.068,42.584,1
0.018,0.018,0.016,0.016,0.016,0.016,0.023,0.023,0.022,0.022,0.022,0.022,32.735,31.885,27.074,13.69,36.792,20.429,1
0.018,0.016,0.016,0.016,0.016,0.016,0.023,0.022,0.022,0.022,0.022,0.022,34.648,34.372,5.3227,20.048,27.138,44.285,1
0.016,0.016,0.016,0.016,0.016,0.019,0.022,0.022,0.022,0.022,0.022,0.018,14.448,21.813,12.708,27.905,10.519,15.521,1
0.016,0.016,0.016,0.016,0.019,0.019,0.022,0.022,0.022,0.022,0.018,0.018,31.483,6.3373,17.703,13.865,12.925,32.386,1
0.016,0.016,0.016,0.019,0.019,0.019,0.022,0.022,0.022,0.018,0.018,0.018,30.445,12.463,37.454,28.24,40.211,30.919,1
0.016,0.016,0.019,0.019,0.019,0.019,0.022,0.022,0.018,0.018,0.018,0.018,9.6622,41.343,3.45,32.813,4.01,25.551,1
0.016,0.019,0.019,0.019,0.019,0.019,0.022,0.018,0.018,0.018,0.018,0.018,7.8217,9.2304,4.6156,12.158,23.474,32.26,1
0.019,0.019,0.019,0.019,0.019,0.021,0.018,0.018,0.018,0.018,0.018,0.021,23.831,37.649,9.9314,7.755,9.8865,30.927,1
0.019,0.019,0.019,0.019,0.021,0.021,0.018,0.018,0.018,0.018,0.021,0.021,43.301,25.518,30.193,15.32,44.1,10.317,1
0.019,0.019,0.019,0.021,0.021,0.021,0.018,0.018,0.018,0.021,0.021,0.021,17.164,44.837,33.679,16.252,32.876,8.2022,1
0.019,0.019,0.021,0.021,0.021,0.021,0.018,0.018,0.021,0.021,0.021,0.021,27.498,6.099,30.135,20.7,23.92,44.961,1
0.019,0.021,0.021,0.021,0.021,0.021,0.018,0.021,0.021,0.021,0.021,0.021,12.245,21.481,21.829,24.232,22.68,10.021,1
0.021,0.021,0.021,0.021,0.021,0.021,4.1758,35.665,30.129,17.473,38.7,8.0299,0.024,0.024,0.024,0.024,0.024,0.025,1
0.021,0.021,0.021,0.021,0.021,0.021,26.483,20.67,31.455,9.1299,26.456,23.493,0.024,0.024,0.024,0.024,0.025,0.025,1
0.021,0.021,0.021,0.021,0.021,0.021,40.015,6.6327,29.63,27.533,42.029,38.797,0.024,0.024,0.024,0.025,0.025,0.025,1
0.021,0.021,0.021,0.021,0.021,0.021,31.039,14.045,42.686,13.863,32.199,39.68,0.024,0.024,0.025,0.025,0.025,0.025,1
0.021,0.021,0.021,0.021,0.021,0.021,10.836,9.2843,11.617,4.676,27.394,14.206,0.024,0.025,0.025,0.025,0.025,0.025,1
0.021,0.021,0.021,0.021,0.021,0.018,18.368,14.658,32.732,34.658,37.21,11.597,0.025,0.025,0.025,0.025,0.025,0.026,1
0.021,0.021,0.021,0.021,0.018,0.018,22.243,21.372,12.769,13.046,39.894,26.642,0.025,0.025,0.025,0.025,0.026,0.026,1
0.021,0.021,0.021,0.018,0.018,0.018,44.225,25.045,7.8385,21.469,44.532,29.821,0.025,0.025,0.025,0.026,0.026,0.026,1
0.021,0.021,0.018,0.018,0.018,0.018,9.4003,22.103,28.428,31.825,2.822,20.399,0.025,0.025,0.026,0.026,0.026,0.026,1
0.021,0.018,0.018,0.018,0.018,0.018,38.903,39.741,21.796,17.959,39.322,11.492,0.025,0.026,0.026,0.026,0.026,0.026,1
0.018,0.018,0.018,0.018,0.018,0.018,30.009,24.662,22.158,33.874,28.65,42.803,0.026,0.026,0.026,0.026,0.026,0.024,1
0.018,0.018,0.018,0.018,0.018,0.018,18.679,42.621,30.734,19.457,44.576,6.2634,0.026,0.026,0.026,0.026,0.024,0.024,1
0.018,0.018,0.018,0.018,0.018,0.018,10.857,29.711,35.306,31.64,25.068,7.2609,0.026,0.026,0.026,0.024,0.024,0.024,1
0.018,0.018,0.018,0.018,0.018,0.018,20.872,43.215,17.579,32.511,23.036,8.7941,0.026,0.026,0.024,0.024,0.024,0.024,1
0.018,0.018,0.018,0.018,0.018,0.018,23.141,12.958,30.737,21.465,36.617,9.8246,0.026,0.024,0.024,0.024,0.024,0.024,1
0.018,0.018,0.018,0.018,0.018,0.019,7.8898,31.332,20.362,3.6262,12.415,29.004,0.024,0.024,0.024,0.024,0.024,0.022,1
0.018,0.018,0.018,0.018,0.019,0.019,27.677,14.999,38.329,16.762,23.82,27.011,0.024,0.024,0.024,0.024,0.022,0.022,1
0.018,0.018,0.018,0.019,0.019,0.019,12.345,31.15,37.949,20.706,40.816,4.9977,0.024,0.024,0.024,0.022,0.022,0.022,1
